,school_id,name,region,region_name
234,257,ЦФКСиЗ Фрунзенского района,Санкт-Петербург,Санкт-Петербург ЦФКСиЗ Фрунзенского района
235,258,Челны,Набережные челны,Набережные челны Челны
236,259,Чемпион,Санкт-Петербург,Санкт-Петербург Чемпион
237,260,Энергия,Свердловская область,Свердловская область Энергия
238,261,Южное сияние,Челябинская область,Челябинская область Южное сияние
239,262,Южный Лед,Москва,Москва Южный Лед
240,263,Юность,Мурманская область,Мурманская область Юность
241,264,Юность,Свердловская область,Свердловская область Юность
242,265,Юность,ХМАО-Югра,ХМАО-Югра Юность
243,266,Юность,Чувашская Республика,Чувашская Республика Юность
244,267,Ямал,Ямало-Ненецкий АО,Ямало-Ненецкий АО Ямал
245,268,МКУ ДО «ДЮСШ «ВОСТОЧНАЯ»,Воронежская область,Воронежская область МКУ ДО «ДЮСШ «ВОСТОЧНАЯ»
246,270,ЦФКСиЗ Невского района,Санкт-Петербург,Санкт-Петербург ЦФКСиЗ Невского района
247,271,ИП Иванова,Санкт-Петербург,Санкт-Петербург ИП Иванова
248,272,СК ФК «Open Ice»,Санкт-Петербург,Санкт-Петербург СК ФК «Open Ice»
249,273,Каскад,Санкт-Петербург,Санкт-Петербург Каскад
250,274,"""Голден Айс Петергоф"" (ГБУ СШ ""Манеж"")",Санкт-Петербург,"Санкт-Петербург ""Голден Айс Петергоф"" (ГБУ СШ ""Манеж"")"
251,275,"ООО ""ЛЕДОВАЯ ИСТОРИЯ""",Санкт-Петербург,"Санкт-Петербург ООО ""ЛЕДОВАЯ ИСТОРИЯ"""
252,276,Северная Столица,Санкт-Петербург,Санкт-Петербург Северная Столица
253,278,СФК Империя Льда,Санкт-Петербург,Санкт-Петербург СФК Империя Льда
254,279,Созвездие Айс,Санкт-Петербург,Санкт-Петербург Созвездие Айс
255,280,Энергия льда,Санкт-Петербург,Санкт-Петербург Энергия льда
256,281,СФК «Серпантин» (И П Шалимова Т.А.),Санкт-Петербург,Санкт-Петербург СФК «Серпантин» (И П Шалимова Т.А.)
257,282,"СШ (ОРК) филиала ФАУ МО РФ ЦСКА (СКА, г. Санкт-Петербург)",Санкт-Петербург,"Санкт-Петербург СШ (ОРК) филиала ФАУ МО РФ ЦСКА (СКА, г. Санкт-Петербург)"
258,283,Proice Kids,Санкт-Петербург,Санкт-Петербург Proice Kids
259,284,"ООО ""ГЛАЙД""",Санкт-Петербург,"Санкт-Петербург ООО ""ГЛАЙД"""
260,285,Отделение фигурного катания «Ника» ООО «Клуб СБС»,Санкт-Петербург,Санкт-Петербург Отделение фигурного катания «Ника» ООО «Клуб СБС»
261,286,СК ФК «Ice Prestige»,Санкт-Петербург,Санкт-Петербург СК ФК «Ice Prestige»
262,287,"СФК ""УЗОР"" ИП Баранчикова Наталия Александровна",Санкт-Петербург,"Санкт-Петербург СФК ""УЗОР"" ИП Баранчикова Наталия Александровна"
263,288,СТАРТАЙС,Санкт-Петербург,Санкт-Петербург СТАРТАЙС
264,289,"ООО ""Пируэт""",Санкт-Петербург,"Санкт-Петербург ООО ""Пируэт"""
